number,name,description
AFRICAAM 37:,Contemporary Choreography: Chocolate Heads 'Weather Simulator' Performance Project (DANCE 30),"An interdisciplinary project-based class to develop dance technique, collaborative choreography, and associated visual and musical arts. We invite dancers, movers, and emerging creators of all styles and backgrounds. The Autumn 22-23 project will focus on creating a ""weather simulator"" as a vehicle to explore the relationship between weather and human social life. We will use improvisational scores, meteorological data, gaming and machine learning strategies to both become weather and respond to weather. Through this poetic simulator, we will devise a collective way of thinking about our survival and our creative agency. How does weather change our way of being? How is the weather affected by human behavior on earth? In an unpredictable world of climate catastrophes, how can our simulator inspire hope through collective imagination grounded in science? The Chocolate Heads will continue the practice of creating intermedia performances using dance, film projection, technology, and live music. We are seeking interdisciplinary artists in dance, poetry, music, graphics, video and AI. All levels of experience are welcome. WEEK 1: TU 9/27--Introduction to the Project & CHs Band; THU 9/29--1st Audition Workshop. Contact Instructor (Aleta Hayes, ahayes1@stanford.edu) for more information."
AFRICAAM 45:,Dance Improvisation from Freestyle to Hip Hop (DANCE 45),"In this dance improvisation class, we will develop techniques and practices to cultivate an improvisational practice in dance and domains beyond. This class is an arena for physical and artistic exploration to fire the imagination of dance improvisers and to promote collaborative and interactive intelligence. We will draw upon dance styles and gestural vocabularies, including contemporary dance, hip-hop, vogue and more. Students will learn how to apply these improvisational dance ideas to generate and innovate across disciplines. Accompanied by a live DJ, students will practice listening with eyes, ears, and our whole bodies. Open to students from all dance, movement, and athletic backgrounds. Beginners welcome."
AFRICAAM 60:,Spoken Word Poetry and Resistance: 1990's-Present (CSRE 42),"In the 1990's the Spoken Word movement exploded onto the public scene in multiple forms. The decade marked the birth of the Poetry Slam movement, the 'Golden Age' of rap, and the re-emergence of Poetry as Performance. In the contemporary moment Kendrick Lamar's Pulitzer Prize-winning album, 'DAMN', Mahogany Browne's anthemic poem 'Black Girl Magic', and the rise of online Spoken Word platforms like 'Button Poetry' are all evidence of a similar present-day uprising in the centuries-old Spoken Word tradition. This course will combine workshop and seminar approaches to provide students with space to read and examine the Black Spoken Word tradition from the 1990s to the present, and to write and perform their own work."
AFRICAAM 78:,"Art + Community: Division, Resilience & Reconciliation (CSRE 78)","Violence and trauma isolates and segregates us. Part of the healing process must be about coming back into community. Freedom is meaningful only insofar as it lifts all, especially those who have been done the most harm. In times of violence and polarization, art can heal and brings people together. In this course, we will explore how we make and sustain community, especially in the face of threats from within and without. We will do this especially through examining how artists and culture workers of color develop and advance practices that build mutuality, criticality, renewal, trust, and joy in the face of ongoing racial injustice and cultural inequity."
AFRICAAM 111:,"AIDS, Literacy, and Land: Foreign Aid and Development in Africa (AFRICAST 112, AFRICAST 212)","Foreign aid can help Africa, say the advocates. Certainly not, say the critics. Is foreign aid a solution? or a problem? Should there be more aid, less aid, or none at all? Africa has developed imaginative and innovative approaches in many sectors. At the same time, many African countries have become increasingly dependent on foreign aid. How do foreign aid and local initiatives intersect? We will examine several contentious issues in contemporary Africa, exploring roots, contested analyses, and proposed solutions, examining foreign aid and the aid relationship. As African communities and countries work to shape their future, what are the foreign roles, and what are their consequences?"
AFRICAAM 121B:,"""The Will to Adorn"": An Anthropology of Dress (ANTHRO 121B, ANTHRO 221B, ARCHLGY 221B)","This seminar explores sartorial practices as a means for examining formations of identities and structural inequalities across space and time. Building off the definition of dress, pulled from Mary Ellen Roach-Higgins and Joanne B. Eicher, this course examines sartorial practices as social-cultural practices, shaped by many intersecting operations of power and oppression including racism, sexism, and classism, that involve modifications of the corporal form (i.e., scarification, body piercings, and hair alteration) as well as all three-dimensional supplements added to the body (i.e., clothing, hair combs, and jewelry). The emphasis on intersecting operations of power and oppression within this definition of dress draws on Kimbrel Crenshaw's conceptualization of intersectionality. Through case studies and examples from various parts of the world, we will explore multiple sources of data - documentary, material, and oral - that have come to shape the study of dress. We examine how dress intersects with facets of identity, including race, age, ethnicity, sexuality, and class."
AFRICAAM 151:,"Ethical STEM: Race, Justice, and Embodied Practice (ARTSINST 151C, CSRE 151C, STS 51D, SYMSYS 151D, TAPS 151D)","What role do science and technology play in the creation of a just society? How do we confront and redress the impact of racism and bias within the history, theory, and practice of these disciplines? This course invites students to grapple with the complex intersections between race, inequality, justice, and the STEM fields. We orient to these questions from an artistically-informed position, asking how we can rally the embodied practices of artists to address how we think, make, and respond to each other. Combining readings from the history of science, technology, and medicine, ethics and pedagogy, as well as the fine and performing arts, we will embark together on understanding how our STEM practices have emerged, how we participate today, and what we can imagine for them in the future. The course will involve workshops, field trips (as possible), and invited guests. All students, from any discipline, field, interest, and background, are welcome! This course does build upon the STS 51 series from 2020-21, though it is not a prerequisite for this course. Please contact the professor if you have any questions!"
AFRICAAM 157P:,"Solidarity and Racial Justice (AMSTUD 157P, CSRE 157P, FEMGEN 157P)","Is multiracial solidarity necessary to overcome oppression that disproportionately affects certain communities of color? What is frontline leadership and what role should people play if they are not part of frontline communities? In this course we will critically examine practices of solidarity and allyship in movements for collective liberation. Through analysis of historical and contemporary movements, as well as participation in movement work, we will see how movements have built multiracial solidarity to address issues that are important to the liberation of all. We will also see how racial justice intersects with other identities and issues. This course is for students that want to learn how to practice solidarity, whether to be better allies or to work more effectively with allies. There will be a community engaged learning option for this course. Students who choose to participate in this option will either work with Stanford's DGen Office or a community organization that is explicitly devoted to multiracial movement-building."
AFRICAAM 159:,"James Baldwin & Twentieth Century Literature (AMSTUD 159, ENGLISH 159, FEMGEN 159)","Black, gay and gifted, Baldwin was hailed as a ""spokesman for the race"", although he personally, and controversially, eschewed titles and classifications of all kinds. This course examines his classic novels and essays as well his exciting work across many lesser-examined domains - poetry, music, theatre, sermon, photo-text, children's literature, public media, comedy and artistic collaboration. Placing his work in context with other writers of the 20C (Faulkner, Wright, Morrison) and capitalizing on a resurgence of interest in the writer (NYC just dedicated a year of celebration of Baldwin and there are 2 new journals dedicated to study of Baldwin), the course seeks to capture the power and influence of Baldwin's work during the Civil Rights era as well as his relevance in the ""post-race"" transnational 21st century, when his prescient questioning of the boundaries of race, sex, love, leadership and country assume new urgency."
AFRICAAM 163:,"Fly Folk in the Buttermilk: A Black Music and Culture Writing Workshop (CSRE 163, MUSIC 153C)","This course in honor of the late, great music journalist and thinker, Greg Tate, is designed to introduce popular music writing as a genre to students from all academic backgrounds. From cultural criticism, liner notes, music journalism, and DJ scholarship and more - this course explores the art of music writing with lectures, discussion and ongoing feedback on student writing from Special Guest Artists DJ Lynnée Denise and Daniel Gray-Kontar. Students will also have the opportunity to read and analyze various types of music writing in public and scholarly venues, and if they choose, to build a portfolio of their own working across several possible genres. Nationally and internationally renowned guests will visit with the class regularly to share their journeys as writers and offer their views on craft, aesthetics, and principles for writers to consider as they work on their own craft. These guests will include: Cheo Hodari Coker, journalist at The Source Magazine turned television/fil more »"
AFRICAAM 164A:,"Race and Performance (CSRE 164A, CSRE 364A, TAPS 164)","How does race function in performance and dare we say live and in living color? How does one deconstruct discrimination at its roots?n nFrom a perspective of global solidarity and recognition of shared plight among BIPOC communities, we will read and perform plays that represent material and psychological conditions under a common supremacist regime. Where and when possible, we will host a member of the creative team of some plays in our class for a live discussion. Assigned materials include works by Lin-Manuel Miranda, Amiri Baraka, Young Jean Lee, Ayad Akhtar, Susan Lori Parks, David Henry Hwang, Betty Shamieh, Jeremy O. Harris, and Christopher Demos Brown.n nThis class offers undergraduate students a discussion that does not center whiteness, but takes power, history, culture, philosophy, and hierarchy as core points of debate. In the first two weeks, we will establish the common terms of the discussion about stereotypes, representation, and historical claims, but then we will quic more »"
AFRICAAM 165:,"Identity and Academic Achievement (CSRE 165, PSYCH 165)","How do social identities affect how people experience academic interactions? How can learning environments be better structured to support the success of all students? In this class, we will explore how a variety of identities such as race, gender, social class, and athletic participation can affect academic achievement, with the goal of identifying concrete strategies to make learning environments at Stanford and similar universities more inclusive. Readings will draw from psychology, sociology, education, and popular press. This class is a seminar format."
AFRICAAM 169A:,"Race and Ethnicity in Urban California (AMSTUD 169, CSRE 260, URBANST 169)","The course is part of an ongoing research project that examines the consequences of longterm social, economic, and political changes in ethnic and race relations in in urban California. The required readings, discussions, and service learning component all provide a platform for students to explore important issues, past and present, affecting California municipalities undergoing rapid demographic transformation. Cardinal Course certified by the Haas Center."
AFRICAAM 178S:,"The Haitian Revolution: Slavery, Freedom, and the Atlantic World (FRENCH 178, HISTORY 78S, HUMRTS 121)","How did the French colony of Saint-Domingue become Haiti, the world's first Black-led republic? What did Haiti symbolize for the African diaspora and the Americas at large? What sources and methods do scholars use to understand this history? To answer these questions, this course covers the Haitian story from colonization to independence during the eighteenth and nineteenth centuries. Our course will center Africans and people of African descent, both enslaved and free, as they negotiated and resisted systems of racial and economic oppression in the French Caribbean. Our inquiry will critically engage with conceptions and articulations of human and civil rights as they relate to legal realities and revolutionary change over time, as well as the interplay between rights and racial thinking. Tracing what historian Julius Scott called the ""common wind"" of the Haitian Revolution, we will also investigate how the new nation's emergence built on the American and French Revolutions while also influencing national independence movements elsewhere in the Atlantic World. Priority given to history majors and minors; no prerequisites and all readings are in English."
AFRICAAM 194A:,Topics in Writing & Rhetoric: Freedom's Mixtape: DJing Contemporary African American Rhetorics (PWR 194AB),"Black music in all its genres, styles and eras has always been about freedom and transformation. About both Black people and the whole society. About the US Black experience, the African continent and the diaspora. These musical forms and the social movements they reflect and help shape are therefore central to the study of African American rhetoric. From overtly translating the ideas of social movements for mass audiences, to capturing the mood of a moment or move, to reflecting and influencing the aesthetics and styles that attend public discourse, to simply being a space where debates get worked out in community, music in Black traditions are as important a space of engagement as political speeches, sermons, websites, or even #BlackTwitter. This course will use Black music and its relationship to both social movements and everyday dialogue and debate to introduce study in African American Rhetoric as a field of study."
AFRICAAM 211:,"Education for All? The Global and Local in Public Policy Making in Africa (AFRICAST 111, AFRICAST 211)","Policy making in Africa and the intersection of policy processes and their political and economic dimensions. The failure to implement agreements by international institutions, national governments, and nongovernmental organizations to promote education. Case studies of crowded and poorly equipped schools, overburdened and underprepared teachers, and underfunded education systems."
AFRICAAM 221:,"Between Malcolm X and Martin Luther King, JR.: Race, Religion, and the Politics of Freedom (AMSTUD 141X, CSRE 141R, HISTORY 151M, POLISCI 126, RELIGST 141)","Malcolm X (El Hajj Malik El Shabazz) and Martin Luther King, Jr. are both icons of the twentieth-century civil rights and black freedom movements. Often characterized as polar opposites - one advocating armed self-defense and the other non-violence against all provocation - they continue to be important religious, political, and intellectual models for how we imagine the past as well as for current issues concerning religion, race, politics and freedom struggles in the United States and globally. This course focuses on the political and spiritual lives of Martin and Malcolm. We will examine their personal biographies, speeches, writings, representations, FBI Files, and legacies as a way to better understand how the intersections of religion, race, and politics came to bare upon the freedom struggles of people of color in the US and abroad. The course also takes seriously the evolutions in both Martin and Malcolm's political approaches and intellectual development, focusing especially o more »"
AFRICAAM 222:,DESIGNING FOR COMMUNAL SAFETY (DESINST 222),"How might we design for communal safety beyond the prison industrial complex? Through recognizing the prison industrial complex as a design problem, we will explore both how established institutions (like prisons and policing) are impermanent and the possibility of designing beyond them for our communal betterment. Together with partners from the community leading the movement to abolish prisons, you will generate new design concepts of freedom and safety. You will evaluate the prison industrial complex's inability to invest in communal safety and prototype design ideas that contribute to alternative systems of justice that reject carceral harm. In order to inform and inspire our work, we will uplift and center the voices of the impacted, particularly incarcerated folks. Students of all backgrounds are welcome, directly impacted folks, and Black and Brown students are highly encouraged to apply. The class will consist of Stanford students as well as underrepresented members of the community and non-traditional students."
AFRICAAM 230:,"Community College: Designing for Policy, Ethics, AI/ML tech, Culture, the Environment (DESINST 230)","Let's design the world we want for ourselves and the next generation. Let's make space for a variety of Black & Brown voices with diverse expertise to imagine this future. Let's design, build, and test solutions to our world's most pressing problems - together. In this course, your attendance will be alongside Black and Brown community members that live, work, and play outside of the Stanford University experience. You will learn about the implications of Policy, Ethics, AI/ML tech, Culture, the Environment and their impacts on all facets of your agency as an individual as well as on our society as a whole. You will hear from subject matter experts across many fields, dig into historical societal struggles, identify challenges, prototype solutions, and present your ideas to a special panel of industry and community rock stars at the culmination of this experimental class. Each week, learners will be led in a series of participatory lectures and active provocations by Black and Brown cr more »"
AFRICAAM 280:,Designing Equity Tools (DESINST 280),"Education systems in this country are not serving all students equally. This course is for students who wish to revolutionize the way we understand and provide for safe learning environments. In this course, students and instructors will explore opportunities for increasing equity in education by working with a diverse array of real world experts and completing design challenges that have the potential to positively impact the lives of students in this country. nnApplication required, see dschool.stanford.edu/classes for more information"
AFRICAST 111:,"Education for All? The Global and Local in Public Policy Making in Africa (AFRICAAM 211, AFRICAST 211)","Policy making in Africa and the intersection of policy processes and their political and economic dimensions. The failure to implement agreements by international institutions, national governments, and nongovernmental organizations to promote education. Case studies of crowded and poorly equipped schools, overburdened and underprepared teachers, and underfunded education systems."
AFRICAST 112:,"AIDS, Literacy, and Land: Foreign Aid and Development in Africa (AFRICAAM 111, AFRICAST 212)","Foreign aid can help Africa, say the advocates. Certainly not, say the critics. Is foreign aid a solution? or a problem? Should there be more aid, less aid, or none at all? Africa has developed imaginative and innovative approaches in many sectors. At the same time, many African countries have become increasingly dependent on foreign aid. How do foreign aid and local initiatives intersect? We will examine several contentious issues in contemporary Africa, exploring roots, contested analyses, and proposed solutions, examining foreign aid and the aid relationship. As African communities and countries work to shape their future, what are the foreign roles, and what are their consequences?"
AFRICAST 211:,"Education for All? The Global and Local in Public Policy Making in Africa (AFRICAAM 211, AFRICAST 111)","Policy making in Africa and the intersection of policy processes and their political and economic dimensions. The failure to implement agreements by international institutions, national governments, and nongovernmental organizations to promote education. Case studies of crowded and poorly equipped schools, overburdened and underprepared teachers, and underfunded education systems."
AFRICAST 212:,"AIDS, Literacy, and Land: Foreign Aid and Development in Africa (AFRICAAM 111, AFRICAST 112)","Foreign aid can help Africa, say the advocates. Certainly not, say the critics. Is foreign aid a solution? or a problem? Should there be more aid, less aid, or none at all? Africa has developed imaginative and innovative approaches in many sectors. At the same time, many African countries have become increasingly dependent on foreign aid. How do foreign aid and local initiatives intersect? We will examine several contentious issues in contemporary Africa, exploring roots, contested analyses, and proposed solutions, examining foreign aid and the aid relationship. As African communities and countries work to shape their future, what are the foreign roles, and what are their consequences?"
AMELANG 16:,Advanced Readings in Turkish,"This course will familiarize students whose command of the Turkish language is beyond First Year Turkish (Prereq. Amelang 184/Amelang 84 or placement exam) Students will increase their fluency especially in reading and oral comprehension besides in all communication skills, they will also expand their knowledge of grammar, diverse registers and idioms through extensive readings from literary texts, with practice in conversation and composition. Texts will include, prose and poetry pieces from contemporary Turkish literature, media and historical documents."
AMELANG 142B:,"Third -Year Yiddish, Second Quarter- Reading and Writing about Yiddish Literature","The focus of 142 A - C will be on the development of Yiddish literature. The course will look at the changes in literary technique from the first literary experiments in the 16th century all the way to contemporary Yiddish writing. Historical and cultural forces which shaped Yiddish writing will be discussed, thereby placing Yiddish culture within a broader European context. Course material will include fiction, poetry, and critical prose, focusing on specific challenges for contemporary students in the language and cultural settings of works discussed. Assignments will combine exercises that review essential grammatical principles with written work in Yiddish that analyze classroom readings. Learning materials include as broad a range of sources as possible (written, recorded, spoken, sung), including contemporary realia from the religious and secular worlds. Prerequisite: 142A"
AMELANG 153A:,"First-Year Twi, First Quarter","Twi is the extensively spoken dialect of Akan, the ethnic group of Ghana in West Africa. Being the largest ethnic group of the country Akans have spread Twi in almost all major areas of Ghana. Therefore, it has become pragmatic for non-Ghanaians to acquire Twi if they are to visit Ghana and engage in communication with majority of Ghanaians. This course is the first/second of three levels in the acquisition of basic Akan cultural expressions in Twi. Its goal is to build a strong foundation for cultural awareness and familiarization with the Akan cultural components that support effective communication and social interaction in Ghana. We will emphasize three out of the five structural levels of the culture: language (phonetics/tones/pronunciation and grammar/vocabulary), ethical norms, indigenous food/dishes, and music & dance. We will also learn some Akan cultural points and worldview. Class lesson format will include role-plays and oral presentations."
AMELANG 221A:,"First Year Tigrinya, first quarter","The basic introductory course in Tigrigna is designed for students who have no previous knowledge of Tigrigna and who are interested in learning about the culture, literature, social life Introductory courses in Tigrigna that will help students with all the four language skills: reading, writing, speaking and listening. In addition, cultural elements through audiovisual will be introduced throughout the course."
AMSTUD 41Q:,Madwomen and Madmen: Gender and the History of Mental Illness in the U.S. (FEMGEN 41Q),"This seminar explores the ways that gender and historical context shaped the experience and treatment of mental illness in U.S. history. What is the relationship between historically constructed ideas of femininity and masculinity and madness? Why have women been the witches and hysterics of the past, while men experienced neurasthenia and schizoid conditions? Why have there historically been more women than men among the mentally ill? How has the emotional and psychological suffering of women differed from that of men, and how has it changed over time? Among the sources we use to explore these questions are memoirs and films such as The Three Faces of Eve and One Flew Over the Cuckoos Nest. By contrasting the changing ways women and men experienced mental illness and were treated in the past, this seminar will elucidate the historically embedded nature of medical ideas, diagnoses and treatments."
AMSTUD 43Q:,Body Politics: Health Activism in Modern America,"¿Medicare for All¿ has become a rallying cry for those calling for reform of the American health care system. But this slogan is only the most recent political expression of the conviction that health care ought to be a right and not a privilege, part of an ongoing project to expand access to health care to all Americans. This course will examine key moments in the history of health care reform movements in the twentieth-century United States, considering the successes and failures of advocates, activists, and reformers who have sought to transform the medical system and secure equal access to care. Among the topics we will consider as we move through the century are proposals for a national health insurance program; the fight against racial discrimination in public health and medicine; the women¿s health movement; the disability rights movement; and efforts of AIDS activists to reshape the production of biomedical knowledge. Students will work throughout the quarter on a research-based project on a topic of interest to them, culminating in a final paper and presentation."
AMSTUD 63N:,"The Feminist Critique: The History and Politics of Gender Equality (CSRE 63N, FEMGEN 63N, HISTORY 63N)","This course explores the long history of ideas about gender and equality. Each week we read, dissect, compare, and critique a set of primary historical documents (political and literary) from around the world, moving from the 15th century to the present. We tease out changing arguments about education, the body, sexuality, violence, labor, politics, and the very meaning of gender, and we place feminist critics within national and global political contexts."
AMSTUD 106A:,A.I.: Artificial Intelligence in Fiction,"From self-driving cars to bots that alter democratic elections, artificial intelligence is growing increasingly powerful and prevalent in our everyday lives. Literature has long been speculating about the techno-utopia¿and catastrophe¿that A.I. could usher in. Indeed, literature itself presents us with a kind of A.I. in the many characters that speak and think in its pages. But how do we classify an intelligence as ¿artificial¿ or not? Is there a clear boundary that demarcates bodies from machines? What, if anything, separates the ¿genre¿ of technology from that of literature? What classifies literature as ¿science fiction,¿ ¿scientific,¿ ¿futuristic,¿ ¿psychological,¿ or ¿dystopian¿? And can technology or literature ever overcome the ultimate division between all intelligences¿the problem of other minds? This course consists in curated multi-genre combinations of literature, philosophy, film, and television that explore what makes someone¿or something¿a person in our world today. Special events will include celebrating the current bicentennial of Mary Shelley¿s Frankenstein (1818) in Stanford Special Collections; a possible visit to Stanford¿s A.I. Laboratory; and chatting with the ELIZA chatbot."
AMSTUD 109:,Militant Mischief: Radical Humor as Civil Disobedience in Postwar America,"It is Halloween, 1967. Thousands of hippies costumed as witches and warlocks encircle the US Pentagon to perform a mock exorcism in protest of the Vietnam War. It is 1968, and a contingent of feminists crash a beauty pageant, and allegedly burn their bras to raise consciousness about the objectification of women. As a demonstration against animal cruelty, radical environmentalists in the 1980s dump red paint on celebrities wearing fur coats. All of these theatrical protests speak to a subtradition of postwar American political activism that blurs the boundaries between pranking and protest. In this course, we will explore how American activists have weaponized humor in protest movements through the use of guerrilla theatre, pranks, hacking, and memes. Focus will be directed towards movements that are serious but not sober, and the tradition of carnivalesque activism that links the anti-war movement, women's liberation and abortion activism, eco-radicalism, and Black Lives Matter. Altogether, this course will take humor seriously as a key component in the protest movements that have sought to change the landscape of modern American culture."
AMSTUD 109Q:,American Road Trips (HISTORY 69Q),"""Nothing behind me, everything ahead of me, as is ever so on the road."" --Jack Kerouac, On the Road, 1957. From Jack Kerouac's On the Road to Cheryl Strayed's Wild, this course explores epic road trips of the twentieth century. Travel is a fundamental social and cultural practice through which Americans have constructed ideas about the self, the nation, the past, and the future. The open road, as it is often called, offered excitement, great adventure, and the space for family bonding and memory making. But the footloose and fancy-free nature of travel that Jack Kerouac celebrated was available to some travelers but not to all. Engaging historical and literary texts, film, autobiography, memoir, photography, and music, we will consider the ways that travel and road trips have been represented in American culture. This course examines the following questions: How did men and women experience travel differently? How did the motivations for travel change over time? What role did race, ethnicity, class, relationships, and sexuality play in these trips? Students will work together to plan a road trip of their own which the class will take during the quarter."
AMSTUD 110D:,"War and Peace in American Foreign Policy (INTNLREL 110D, POLISCI 110D, POLISCI 110Y)","The causes of war in American foreign policy. Issues: international and domestic sources of war and peace; war and the American political system; war, intervention, and peace making in the post-Cold War period. Political Science majors taking this course for WIM credit should enroll in POLISCI 110D for 5 units. International Relations majors taking this course for WIM credit should enroll in INTNLREL 110D for 5 units. All students not seeking WIM credit should enroll in POLISCI 110Y or AMSTUD 110D. SCPD students should enroll for 3 units."
AMSTUD 115S:,"Spies, Lies, and Algorithms: The History and Future of American Intelligence (INTNLREL 115, POLISCI 115, PUBLPOL 114)","This course examines the past, present, and future of American espionage. Targeted at first years and sophomores, the class surveys key issues in the development of the U.S. Intelligence Community since World War II. Topics include covert action, intelligence successes and failures, the changing motives and methods of traitors, congressional oversight, and ethical dilemmas. The course pays particular attention to how emerging technologies are transforming intelligence today. We examine cyber threats, the growing use of AI for both insight and deception, and the 'open-source' intelligence revolution online. Classes include guest lectures by former senior U.S. intelligence officials, policymakers, and open-source intelligence leaders. Course requirements include an all-day crisis simulation with former senior officials designed to give students a hands-on feel for the uncertainties, coordination challenges, time pressures, and policy frictions of intelligence in the American foreign policy process."
AMSTUD 117R:,"Christianity, Race, and Gender in 21st-century America (RELIGST 117)","As the largest religion practiced in the United States, Christianity not only shapes the private lives of a large number of Americans but also plays an important role in public discourse, policies, and debates. This course investigates Christianity's place on the shifting religious landscape in America, with special attention to present-day movements for racial and gender justice in the era of Black Lives Matter and #MeToo. Students explore reasons for declining numbers of Christians in the United States, the polarization of Christian conservatives and religious ""nones,"" and Christian constructions of social relations. How do Christian beliefs and practices shape attitudes about race and gender roles? How is contemporary Christianity acting as a force for as well as a barrier to social justice? This course assumes no background in the study of religion, race, or gender and is open to practitioners of all faiths or none."
AMSTUD 137:,"The Dialogue of Democracy (COMM 137W, COMM 237, POLISCI 232T, POLISCI 332T)","All forms of democracy require some kind of communication so people can be aware of issues and make decisions. This course looks at competing visions of what democracy should be and different notions of the role of dialogue in a democracy. Is it just campaigning or does it include deliberation? Small scale discussions or sound bites on television? Or social media? What is the role of technology in changing our democratic practices, to mobilize, to persuade, to solve public problems? This course will include readings from political theory about democratic ideals - from the American founders to J.S. Mill and the Progressives to Joseph Schumpeter and modern writers skeptical of the public will. It will also include contemporary examinations of the media and the internet to see how those practices are changing and how the ideals can or cannot be realized."
